recordFrameCount,sceneFrameCount,avg_fps,sceneQTtime_d_h_m_s_tv_ts_,porQTtime_d_h_m_s_tv_ts_,porX,porY,pupilX,pupilY,cornealRefX,cornealRefY,diameterW,diameterH
21637,21611,29.16,0:00:12:22.305/30000,0:00:12:21.29095/30000,281.6,501.31,235.95,127.64,-1000,-1000,29,31
21638,21612,29.16,0:00:12:22.1368/30000,0:00:12:22.305/30000,279.9,499.85,236.26,127.38,-1000,-1000,29,36
21639,21613,29.16,0:00:12:22.2397/30000,0:00:12:22.1368/30000,280.29,488.8,235.89,125.93,-1000,-1000,29,36
21640,21614,29.16,0:00:12:22.3407/30000,0:00:12:22.2397/30000,275.87,480.54,236.59,124.65,-1000,-1000,29,36
21641,21615,29.16,0:00:12:22.4471/30000,0:00:12:22.3407/30000,276.94,475.07,236.22,123.94,-1000,-1000,25,34
21642,21616,29.16,0:00:12:22.5478/30000,0:00:12:22.4471/30000,280.54,472.68,235.41,123.75,-1000,-1000,33,40
21643,21617,29.16,0:00:12:22.6504/30000,0:00:12:22.5478/30000,284.19,472.33,234.63,123.85,-1000,-1000,27,38
21644,21618,29.16,0:00:12:22.7568/30000,0:00:12:22.6504/30000,288.66,474.76,233.77,124.36,-1000,-1000,25,38
21645,21619,29.16,0:00:12:22.8596/30000,0:00:12:22.7568/30000,294.33,477.66,232.67,124.97,-1000,-1000,28,37
21646,21620,29.16,0:00:12:22.9616/30000,0:00:12:22.8596/30000,299.71,481.85,231.67,125.75,-1000,-1000,27,38
21647,21621,29.16,0:00:12:22.10636/30000,0:00:12:22.9616/30000,304.96,485.8,230.69,126.49,-1000,-1000,27,38
21648,21622,29.16,0:00:12:22.11644/30000,0:00:12:22.10636/30000,310.56,487.81,229.59,126.98,-1000,-1000,32,43
21649,21623,29.16,0:00:12:22.12675/30000,0:00:12:22.11644/30000,310.23,488.51,229.68,127.06,-1000,-1000,27,35
21650,21624,29.16,0:00:12:22.13719/30000,0:00:12:22.12675/30000,306.29,490.32,230.55,127.14,-1000,-1000,26,37
21651,21625,29.16,0:00:12:22.14742/30000,0:00:12:22.13719/30000,305.14,491.88,230.84,127.31,-1000,-1000,33,40
21652,21626,29.16,0:00:12:22.15762/30000,0:00:12:22.14742/30000,313.95,495.03,229.11,128.07,-1000,-1000,41,47
21653,21627,29.16,0:00:12:22.16775/30000,0:00:12:22.15762/30000,325.51,496.47,226.76,128.71,-1000,-1000,34,39
21654,21628,29.16,0:00:12:22.17801/30000,0:00:12:22.16775/30000,336.29,496.38,224.52,129.12,-1000,-1000,33,40
21655,21629,29.16,0:00:12:22.18820/30000,0:00:12:22.17801/30000,344.02,497.73,222.96,129.6,-1000,-1000,23,27
21656,21630,29.16,0:00:12:22.19838/30000,0:00:12:22.18820/30000,350.55,498.47,221.63,129.95,-1000,-1000,28,37
21657,21631,29.16,0:00:12:22.20859/30000,0:00:12:22.19838/30000,357.18,499.15,220.28,130.3,-1000,-1000,26,37
21658,21632,29.16,0:00:12:22.21879/30000,0:00:12:22.20859/30000,366.17,506.86,218.71,131.66,-1000,-1000,13,8
21659,21633,29.16,0:00:12:22.22898/30000,0:00:12:22.21879/30000,342.49,534.34,224.55,134.22,-1000,-1000,56,42
21660,21634,29.16,0:00:12:22.23918/30000,0:00:12:22.22898/30000,319.82,552.67,229.67,135.61,-1000,-1000,56,23
21661,21635,29.16,0:00:12:22.24946/30000,0:00:12:22.23918/30000,302.31,564.49,233.46,136.37,-1000,-1000,42,25
21662,21636,29.16,0:00:12:22.25957/30000,0:00:12:22.24946/30000,290.54,576.39,236.07,137.35,-1000,-1000,24,20
21663,21637,29.16,0:00:12:22.26966/30000,0:00:12:22.25957/30000,282.59,586.3,237.85,138.22,-1000,-1000,25,24
21664,21638,29.16,0:00:12:22.27994/30000,0:00:12:22.26966/30000,275.27,597.85,239.52,139.29,-1000,-1000,32,29
21665,21639,29.16,0:00:12:22.29036/30000,0:00:12:22.27994/30000,269.14,608.81,240.92,140.31,-1000,-1000,32,30
21666,21640,29.16,0:00:12:23.80/30000,0:00:12:22.29036/30000,261.1,610.06,242.47,140.16,-1000,-1000,32,30
21667,21641,29.16,0:00:12:23.1243/30000,0:00:12:23.80/30000,286.21,588.72,237.21,138.63,-1000,-1000,29,28
21668,21642,29.16,0:00:12:23.2250/30000,0:00:12:23.1243/30000,296.78,572.98,234.77,137.18,-1000,-1000,35,30
21669,21643,29.16,0:00:12:23.3273/30000,0:00:12:23.2250/30000,299.99,566.61,233.98,136.54,-1000,-1000,32,28
21670,21644,29.16,0:00:12:23.4275/30000,0:00:12:23.3273/30000,301.47,560.43,233.52,135.85,-1000,-1000,34,28
