onset	aoi	parenting
254528	--	--
256872	--	--
256938	--	--
258621	--	--
258654	--	--
258852	--	--
258918	--	--
260007	3	2
260601	3	2
262284	--	--
262416	4	2
262878	3	2
263934	4	2
265028	--	--
265419	--	--
265452	--	--
266805	--	--
266838	--	--
267828	--	--
267927	--	--
270006	--	--
270336	--	--
270699	--	--
270765	--	--
271326	--	--
271355	5	2
271755	--	--
271953	4	2
272217	--	--
272250	4	2
272349	--	--
272415	4	2
273207	--	--
273438	4	2
273603	--	--
273702	4	2
274758	--	--
274857	4	2
277497	--	--
277629	4	2
277902	--	--
279213	--	--
279576	--	--
280269	--	--
280368	--	--
280599	--	--
280632	--	--
281028	--	--
281061	3	2
281424	4	2
282018	--	--
282051	4	2
282249	--	--
282447	3	2
282612	--	--
282810	3	2
283008	--	--
283173	3	2
283305	--	--
283338	3	2
283635	--	--
283767	4	2
284224	--	--
284394	--	--
284460	--	--
284559	4	3
284823	--	--
284856	4	3
285120	3	3
288189	--	--
288387	4	3
288552	--	--
288585	4	3
288750	--	--
288915	3	3
289113	--	--
289245	4	3
289443	--	--
289608	4	3
290103	--	--
290169	3	3
291159	--	--
291192	4	3
291555	--	--
291687	4	3
292149	3	3
292743	--	--
292776	4	3
293172	--	--
293238	4	3
293436	3	3
293964	--	--
293997	4	3
294294	--	--
294327	4	3
294663	4	2
294723	--	--
294789	4	2
294888	--	--
295020	5	2
295152	--	--
295317	4	2
295416	--	--
295515	4	2
296142	--	--
296241	4	2
296307	4	3
296406	--	--
296769	3	3
296934	--	--
297198	4	3
297429	--	--
297759	5	3
297858	--	--
298056	3	3
298188	--	--
298221	3	3
298386	--	--
298419	3	3
298518	--	--
299376	3	3
299541	--	--
299574	3	3
299673	--	--
299838	3	3
301488	--	--
301521	3	3
302148	--	--
302280	4	3
302379	--	--
302478	4	3
302714	--	--
302841	--	--
302907	--	--
303237	--	--
303369	--	--
303468	--	--
303501	--	--
303526	4	2
303732	--	--
304062	3	2
304161	--	--
304227	3	2
304425	--	--
306075	--	--
306363	--	--
307395	--	--
307791	--	--
307989	4	3
308187	--	--
308220	4	3
308319	--	--
308418	3	3
309144	--	--
309309	4	3
309540	--	--
309573	4	3
310061	--	--
310926	--	--
311652	--	--
311784	--	--
311817	--	--
312152	4	3
312180	--	--
312213	3	3
312477	4	3
312675	3	3
312972	4	3
313401	3	3
313467	--	--
313632	--	--
313929	4	2
317446	--	--
318615	--	--
318912	--	--
319143	--	--
319864	--	--
320694	3	2
320826	--	--
321156	3	2
321519	4	2
321651	--	--
322033	--	--
322047	--	--
322245	3	3
323664	4	3
323720	--	--
323862	--	--
323895	--	--
324225	--	--
324291	--	--
324324	4	1
324720	--	--
324753	3	1
325018	3	4
325050	--	--
325149	3	4
325413	--	--
325446	3	4
325744	4	2
327632	--	--
327954	--	--
327987	--	--
328284	--	--
328317	--	--
328647	--	--
328713	--	--
328812	--	--
329340	--	--
330000	4	2
330363	3	2
330660	3	2
331023	--	--
331056	4	2
331691	--	--
332244	--	--
332310	--	--
334818	--	--
334851	--	--
334950	--	--
334983	--	--
335973	--	--
336138	--	--
336336	4	2
336963	3	2
337293	--	--
337359	4	2
337854	3	2
338283	--	--
338316	3	2
339075	4	2
339636	--	--
339669	4	2
340164	3	2
341088	--	--
341121	4	2
341735	4	3
342639	3	3
