onset	aoi	parenting
254528	--	--
256872	--	--
256938	--	--
258621	--	--
258654	--	--
258852	--	--
258918	--	--
260007	2	2
260601	2	2
262284	--	--
262416	3	2
262878	2	2
263934	3	2
265028	--	--
265419	--	--
265452	--	--
266805	--	--
266838	--	--
267828	--	--
267927	--	--
270006	--	--
270336	--	--
270699	--	--
270765	--	--
271326	--	--
271355	4	2
271755	--	--
271953	3	2
272217	--	--
272250	3	2
272349	--	--
272415	3	2
273207	--	--
273438	3	2
273603	--	--
273702	3	2
274758	--	--
274857	3	2
277497	--	--
277629	3	2
277902	--	--
279213	--	--
279576	--	--
280269	--	--
280368	--	--
280599	--	--
280632	--	--
281028	--	--
281061	2	2
281424	3	2
282018	--	--
282051	3	2
282249	--	--
282447	2	2
282612	--	--
282810	2	2
283008	--	--
283173	2	2
283305	--	--
283338	2	2
283635	--	--
283767	3	2
284224	--	--
284394	--	--
284460	--	--
284559	3	3
284823	--	--
284856	3	3
285120	2	3
288189	--	--
288387	3	3
288552	--	--
288585	3	3
288750	--	--
288915	2	3
289113	--	--
289245	3	3
289443	--	--
289608	3	3
290103	--	--
290169	2	3
291159	--	--
291192	3	3
291555	--	--
291687	3	3
292149	2	3
292743	--	--
292776	3	3
293172	--	--
293238	3	3
293436	2	3
293964	--	--
293997	3	3
294294	--	--
294327	3	3
294663	3	2
294723	--	--
294789	3	2
294888	--	--
295020	4	2
295152	--	--
295317	3	2
295416	--	--
295515	3	2
296142	--	--
296241	3	2
296307	3	3
296406	--	--
296769	2	3
296934	--	--
297198	3	3
297429	--	--
297759	4	3
297858	--	--
298056	2	3
298188	--	--
298221	2	3
298386	--	--
298419	2	3
298518	--	--
299376	2	3
299541	--	--
299574	2	3
299673	--	--
299838	2	3
301488	--	--
301521	2	3
302148	--	--
302280	3	3
302379	--	--
302478	3	3
302714	--	--
302841	--	--
302907	--	--
303237	--	--
303369	--	--
303468	--	--
303501	--	--
303526	3	2
303732	--	--
304062	2	2
304161	--	--
304227	2	2
304425	--	--
306075	--	--
306363	--	--
307395	--	--
307791	--	--
307989	3	3
308187	--	--
308220	3	3
308319	--	--
308418	2	3
309144	--	--
309309	3	3
309540	--	--
309573	3	3
310061	--	--
310926	--	--
311652	--	--
311784	--	--
311817	--	--
312152	3	3
312180	--	--
312213	2	3
312477	3	3
312675	2	3
312972	3	3
313401	2	3
313467	--	--
313632	--	--
313929	3	2
317446	--	--
318615	--	--
318912	--	--
319143	--	--
319864	--	--
320694	2	2
320826	--	--
321156	2	2
321519	3	2
321651	--	--
322033	--	--
322047	--	--
322245	2	3
323664	3	3
323720	--	--
323862	--	--
323895	--	--
324225	--	--
324291	--	--
324324	3	1
324720	--	--
324753	2	1
325018	2	4
325050	--	--
325149	2	4
325413	--	--
325446	2	4
325744	3	2
327632	--	--
327954	--	--
327987	--	--
328284	--	--
328317	--	--
328647	--	--
328713	--	--
328812	--	--
329340	--	--
330000	3	2
330363	2	2
330660	2	2
331023	--	--
331056	3	2
331691	--	--
332244	--	--
332310	--	--
334818	--	--
334851	--	--
334950	--	--
334983	--	--
335973	--	--
336138	--	--
336336	3	2
336963	2	2
337293	--	--
337359	3	2
337854	2	2
338283	--	--
338316	2	2
339075	3	2
339636	--	--
339669	3	2
340164	2	2
341088	--	--
341121	3	2
341735	3	3
342639	2	3
