id,time,strangerhead_prop_maskon,strangerhead_prop_maskoff
7004,1,0,0
7004,2,0,0
7004,3,0,0
7004,4,0,0
7004,5,0,0
7004,6,0,0
7004,7,0,0
7004,8,0,0.166666667
7004,9,0,NA
7004,10,0,NA
7004,11,0,NA
7004,12,0,NA
7004,13,0,NA
7004,14,0,NA
7004,15,0,NA
7004,16,0,NA
7004,17,0,NA
7004,18,0,NA
7004,19,0,NA
7004,20,0,NA
7004,21,0,NA
7004,22,0,NA
7004,23,NA,NA
7004,24,0,NA
7004,25,0,NA
7004,26,0,NA
7004,27,0,NA
7004,28,0,NA
7004,29,0,NA
7004,30,0,1
7004,31,0,1
7004,32,0,NA
7004,33,0,NA
7004,34,0,NA
7004,35,0,NA
7004,36,0,NA
7004,37,0,NA
7004,38,0,NA
7004,39,0,NA
7004,40,0,NA
7004,41,0,NA
7004,42,0,NA
7004,43,0,NA
7004,44,0,NA
7004,45,0,NA
7004,46,0,NA
7004,47,0,NA
7004,48,0,0
7004,49,0,0
7004,50,0,0
7004,51,0,0.2
7004,52,0,0
7004,53,0,0
7004,54,0,0
7017,1,0,0
7017,2,0,0
7017,3,0,0
7017,4,0,0.533333333
7017,5,0,0.666666667
7017,6,0,0.9
7017,7,0,0.966666667
7017,8,0,0
7017,9,0,0.366666667
7017,10,0,0.9
7017,11,0,0.866666667
7017,12,0,0.566666667
7017,13,0,1
7017,14,0,1
7017,15,0,1
7017,16,0,1
7017,17,0,0.666666667
7017,18,NA,1
7017,19,0,1
7017,20,0,1
7017,21,0,1
7017,22,0,0.766666667
7017,23,0,0
7017,24,0,0
7017,25,0,0
7017,26,0,0
7017,27,0,0
7017,28,0,0
7017,29,0,0
7017,30,0,0
7017,31,0,0
7017,32,0,0
7017,33,0,0
7017,34,0,0.333333333
7017,35,0,0
7017,36,0,0
7017,37,0,0
7017,38,0,0
7017,39,0,0
7024,1,0,1
7024,2,NA,0.733333333
7024,3,0,0.7
7024,4,0,0.433333333
7024,5,0,0.666666667
7024,6,0,0.5
7024,7,0,1
7024,8,0,1
7024,9,0.4,NA
7024,10,0,NA
7024,11,0,NA
7024,12,0,NA
7024,13,0,NA
7024,14,0,NA
7024,15,0,NA
7024,16,0.966666667,NA
7024,17,0.444444444,NA
7024,18,0,1
7024,19,0.833333333,0.904761905
7024,20,1,0.733333333
7024,21,1,0
7024,22,0.366666667,0
7024,23,0,0.566666667
7024,24,0.833333333,0
7024,25,0.545454545,0
7024,26,0.482758621,0
7024,27,0.95,NA
7024,28,0,NA
7024,29,0,0
7024,30,0.793103448,0
7024,31,0.4,0
7030,1,0,0
7030,2,0,0
7030,3,0,0
7030,4,0,0
7030,5,0,0
7030,6,0,NA
7030,7,NA,NA
7030,8,0,0.611111111
7030,9,0,NA
7030,10,0,0
7030,11,0,0
7030,12,0,NA
7030,13,0,0
7030,14,0,NA
7030,15,0,NA
7030,16,0,0
7030,17,0,NA
7030,18,0,NA
7030,19,0,NA
7030,20,0,NA
7030,21,0,NA
7030,22,0,NA
7030,23,0,NA
7030,24,0,NA
7030,25,0,NA
7030,26,0,NA
7030,27,0,NA
7030,28,0,NA
7030,29,0,NA
7030,30,0,NA
7030,31,0,0
7030,32,0,NA
7030,33,0,NA
7030,34,0,0
7030,35,0,NA
7030,36,0,NA
7030,37,0,NA
7030,38,0,NA
7030,39,0,NA
7030,40,0,NA
7030,41,0,NA
7030,42,0,NA
7030,43,0,NA
7030,44,0,NA
7030,45,0,0
7030,46,0,0.1
7030,47,0,0
7030,48,0,0
7030,49,0,NA
7030,50,0,NA
7030,51,0,NA
7030,52,0,NA
7034,1,0,1
7034,2,0,1
7034,3,NA,1
7034,4,1,1
7034,5,NA,NA
7034,6,NA,NA
7034,7,0,1
7034,8,0.052631579,1
7034,9,0.4,0.80952381
7034,10,0,0
7034,11,0,1
7034,12,NA,0.333333333
7034,13,1,0
7034,14,0,NA
7034,15,0,NA
7034,16,0,1
7034,17,0,0.4
7034,18,0,NA
7034,19,0,NA
7034,20,0,NA
7034,21,0,0
7034,22,0,0.545454545
7034,23,0,1
7034,24,0,1
7034,25,0,0.333333333
7034,26,0,0.869565217
7034,27,0,0.7
7034,28,0,0.615384615
7034,29,0.952380952,0
7034,30,1,0
7034,31,0.823529412,0
7034,32,0,0
7038,1,0,0
7038,2,0,0
7038,3,0,0
7038,4,0,0
7038,5,0,0
7038,6,0,0
7038,7,0,0
7038,8,0,0.185185185
7038,9,0,0
7038,10,0,0
7038,11,0,NA
7038,12,0,NA
7038,13,0,NA
7038,14,0,1
7038,15,0,NA
7038,16,0,NA
7038,17,0,NA
7038,18,0,1
7038,19,0,0
7038,20,0,0
7038,21,0,0
7038,22,0,0
7038,23,0,0
7038,24,0,NA
7052,1,0,1
7052,2,0,1
7052,3,0,0.7
7052,4,0.285714286,1
7052,5,0.928571429,1
7052,6,0.633333333,1
7052,7,0.482758621,1
7052,8,1,1
7052,9,0.444444444,0.772727273
7052,10,0,1
7052,11,1,1
7052,12,1,1
7052,13,0.357142857,1
7052,14,0,1
7052,15,0.115384615,0.275862069
7052,16,0.7,0
7052,17,1,0
7052,18,1,0.655172414
7052,19,1,0.724137931
7052,20,1,0.933333333
7052,21,1,0.4
7053,1,0,0
7053,2,0,0.172413793
7053,3,0,0.482758621
7053,4,0,0
7053,5,0,0.133333333
7053,6,0,1
7053,7,0,NA
7053,8,0,NA
7053,9,0,NA
7053,10,0,NA
7053,11,0,NA
7053,12,0,NA
7053,13,0,NA
7053,14,0,0
7053,15,0,0
7053,16,0,NA
7053,17,0,NA
7053,18,0,NA
7053,19,0,NA
7053,20,0,1
7053,21,0,NA
7053,22,0,1
7053,23,0.3,1
7053,24,0.133333333,NA
7053,25,0,NA
7053,26,0,NA
7053,27,0,NA
7053,28,0,NA
7053,29,0.233333333,0.692307692
7053,30,0.8,0.344827586
7053,31,0,0.6
7053,32,0,NA
7053,33,0,NA
7053,34,0,NA
7053,35,0,NA
7053,36,0,0
7053,37,0,0
7053,38,0,NA
7053,39,0.233333333,1
7053,40,0.433333333,1
7053,41,0,NA
7053,42,0.933333333,0
7053,43,0.266666667,0
7053,44,1,0.692307692
7053,45,0.266666667,0
7053,46,0,NA
7053,47,0,0
7053,48,0,0
7053,49,0,0
7053,50,0,0
7053,51,0,0
7053,52,0,0.25
7053,53,0.666666667,0
7053,54,1,0
7053,55,0.733333333,0
7053,56,0,NA
7053,57,0,0
7053,58,0,0
7053,59,0,NA
7053,60,0,NA
7053,61,0.433333333,NA
7053,62,0,0
7053,63,0,0
7053,64,0,0.461538462
7053,65,0,0.4
7053,66,NA,0
7053,67,NA,0
7053,68,NA,0
7058,1,0,0
7058,2,0.107142857,0
7058,3,0.1,0
7058,4,0,0.689655172
7058,5,0,0.933333333
7058,6,0,0.666666667
7058,7,0,1
7058,8,0.038461538,1
7058,9,0,0.166666667
7058,10,0,0.36
7058,11,0,0.588235294
7058,12,NA,NA
7058,13,0,0.647058824
7058,14,NA,0
7058,15,0,0
7058,16,0,0
7058,17,0,0
7058,18,NA,0
7058,19,0,0.071428571
7058,20,0,0
7058,21,0,0
7058,22,0,0
7058,23,0,0
7058,24,0.5,0
7058,25,0,0
7058,26,0,0
7058,27,0,0
7058,28,0,0.551724138
7058,29,0.033333333,0
7058,30,0.142857143,0
7058,31,0,0
7058,32,0,0.1
7058,33,0,0
7058,34,0,0
7058,35,0,0
7058,36,0,0
7058,37,0,0
7058,38,0,0
7058,39,0,0.3
7058,40,0.272727273,0
7058,41,NA,0
7058,42,0,0
7060,1,0,NA
7060,2,0,NA
7060,3,0,NA
7060,4,0,0
7060,5,0,0
7060,6,0,NA
7060,7,0,0
7060,8,0,0
7060,9,NA,0
7060,10,NA,0
7060,11,NA,0
7060,12,NA,0
7060,13,NA,0
7060,14,NA,0
7060,15,NA,NA
7060,16,NA,0
7060,17,NA,0
7060,18,NA,0
7060,19,NA,0
7060,20,NA,0
7060,21,NA,NA
7060,22,NA,0
7063,1,0,0
7063,2,0,NA
7063,3,0,NA
7063,4,0,0
7063,5,0,NA
7063,6,0,NA
7063,7,0,NA
7063,8,0,NA
7063,9,0,NA
7063,10,0,NA
7063,11,0,NA
7063,12,0,0
7063,13,0,0.3
7063,14,0,0
7063,15,0,0.117647059
7063,16,0,1
7063,17,0,NA
7063,18,0,1
7063,19,0,1
7063,20,0,1
7063,21,0,1
7063,22,0,1
7063,23,0,1
7063,24,0,1
7063,25,NA,1
7063,26,NA,1
7063,27,NA,1
7063,28,0,1
7063,29,0,1
7063,30,0,1
7063,31,0,1
7063,32,0,1
7063,33,0,0.863636364
7063,34,0.681818182,1
7063,35,0.5,1
7063,36,0.105263158,1
7063,37,0,1
7063,38,0,NA
7063,39,0,1
7063,40,0,1
7063,41,0,1
7063,42,0,1
7063,43,0,1
7063,44,0,1
7063,45,0,1
7063,46,0,1
7063,47,NA,0.875
7063,48,0,0.5
7063,49,0,1
7063,50,0,0.48
7063,51,0,0
7063,52,0,0.857142857
7063,53,0,0.045454545
7063,54,0,0
7063,55,0,0
7063,56,0,0
7063,57,0,0
7063,58,0,0
7064,1,0,0
7064,2,0,0
7064,3,0,0
7064,4,0,0.6
7064,5,0,1
7064,6,0,0.7
7064,7,0,0.933333333
7064,8,0,1
7064,9,0,1
7064,10,0,1
7064,11,0,1
7064,12,0,1
7064,13,0,0.68
7064,14,0,0.222222222
7064,15,0,0.962962963
7064,16,NA,0.7
7064,17,0,0.142857143
7064,18,0,0.166666667
7064,19,NA,0.821428571
7064,20,0,0
7064,21,0,0
7064,22,0,0
7064,23,0,0
7064,24,0,0
7064,25,NA,0
7064,26,NA,0
7065,1,0,0
7065,2,0,0.555555556
7065,3,0,0.4
7065,4,0,0
7065,5,0,0
7065,6,0,0
7065,7,0,0
7065,8,0,NA
7065,9,0,NA
7065,10,0,NA
7065,11,0,NA
7065,12,0.222222222,NA
7065,13,0.782608696,NA
7065,14,0,0
7065,15,0,0.285714286
7065,16,0,NA
7065,17,0,NA
7065,18,0,NA
7065,19,0,0
7065,20,0,0
7065,21,0,0
7065,22,0,1
7065,23,0,1
7065,24,0,1
7065,25,0,1
7065,26,0,1
7065,27,0,1
7065,28,0,1
7065,29,0,1
7065,30,0,1
7065,31,0,1
7065,32,0,1
7065,33,0,0
7065,34,0,0
7065,35,0,NA
7065,36,0,NA
7065,37,0,NA
7065,38,0,NA
7065,39,0,NA
7065,40,0,NA
7065,41,NA,NA
7065,42,NA,NA
7065,43,NA,0
7065,44,NA,0
7065,45,0,NA
7065,46,NA,NA
7065,47,0,0
7065,48,0,NA
7065,49,0,NA
7065,50,0,NA
7065,51,NA,NA
7065,52,NA,NA
7065,53,0,NA
7065,54,NA,NA
7065,55,NA,NA
7065,56,0,0
7065,57,0,NA
7065,58,0,0.357142857
7065,59,0,0.272727273
7065,60,NA,0
7065,61,NA,0
7065,62,NA,0
7065,63,NA,0
7065,64,NA,0
7067,1,0,0.903225806
7067,2,0,0.966666667
7067,3,0,1
7067,4,0,1
7067,5,0.535714286,1
7067,6,0,1
7067,7,0,1
7067,8,0,1
7067,9,0,NA
7067,10,0.666666667,NA
7067,11,0,1
7067,12,0.857142857,1
7067,13,1,1
7067,14,0.533333333,1
7067,15,1,1
7067,16,1,0.04
7067,17,1,0
7067,18,1,0
7067,19,1,0.862068966
7067,20,0.7,0
7067,21,0,0
7067,22,0.033333333,0
7067,23,0.6,0.310344828
7074,1,0,0.666666667
7074,2,0,1
7074,3,0,1
7074,4,0,1
7074,5,0,1
7074,6,0,1
7074,7,0,1
7074,8,0.7,1
7074,9,0.833333333,1
7074,10,0,0.178571429
7074,11,0,0
7074,12,0.5,0
7074,13,1,NA
7074,14,0.133333333,NA
7074,15,0.966666667,0
7074,16,0.333333333,0
7074,17,0.24137931,0
7074,18,0.807692308,0
7074,19,0,0.5
7074,20,0.033333333,0.366666667
7074,21,1,0.5
7074,22,0.482758621,0.166666667
7074,23,0.1,0.466666667
7074,24,1,1
7074,25,0.5,0.533333333
7074,26,0.869565217,0.793103448
7074,27,0.423076923,1
7074,28,0.285714286,1
7074,29,0.482758621,1
7074,30,0.566666667,1
7074,31,0.08,1
7074,32,1,1
7074,33,0.733333333,1
7074,34,0.964285714,1
7074,35,0.1,1
7074,36,0,1
7074,37,0,1
7074,38,0,1
7074,39,0.266666667,1
7074,40,0,1
7074,41,0.7,1
7074,42,0.047619048,1
7074,43,0.037037037,1
7074,44,1,1
7074,45,0.333333333,1
7074,46,0.866666667,0.966666667
7074,47,0.571428571,0.344827586
7074,48,0,0.913043478
7074,49,0.407407407,0.64
7074,50,0,0.615384615
7074,51,0.266666667,0.125
7074,52,1,0.285714286
7074,53,1,0
7074,54,0.5,0
7074,55,0,0.333333333
7074,56,0,0
7074,57,0,0
7074,58,0,0
7074,59,0.666666667,0.142857143
7074,60,0.04,0.620689655
7074,61,0.1,0.344827586
7074,62,1,0.466666667
7074,63,0,0.892857143
7074,64,NA,1
7074,65,NA,0.666666667
7074,66,NA,0
7074,67,NA,0
7074,68,NA,0
7076,1,0,0.3
7076,2,0,0.107142857
7076,3,0,0.5
7076,4,0,0.538461538
7076,5,0,0.608695652
7076,6,0,0.866666667
7076,7,0,1
7076,8,0,1
7076,9,0,1
7076,10,0.105263158,1
7076,11,0,1
7076,12,0,1
7076,13,0,1
7076,14,0,1
7076,15,0.111111111,1
7076,16,0,1
7076,17,0,1
7076,18,0,0.166666667
7076,19,NA,0.933333333
7076,20,0,1
7076,21,NA,0.517241379
7076,22,NA,0.19047619
7076,23,0,0
7076,24,0,0
7076,25,0,NA
7076,26,0.133333333,0
7076,27,0,0
7076,28,NA,0
7076,29,0,0
7078,1,0,0
7078,2,0,0
7078,3,0,0
7078,4,0,0
7078,5,0,0
7078,6,0,0
7078,7,0,0
7078,8,0,0
7078,9,0,0.466666667
7078,10,0,1
7078,11,0.071428571,1
7078,12,0.074074074,0.818181818
7078,13,0,1
7078,14,0,0.444444444
7078,15,0,0
7078,16,0,NA
7078,17,0.111111111,0
7078,18,0.166666667,0.047619048
7078,19,0.333333333,0.206896552
7078,20,0.038461538,0
7078,21,1,0
7078,22,1,0
7078,23,0,0.6
7078,24,0,0.142857143
7078,25,0,1
7078,26,0,NA
7078,27,0,NA
7078,28,0,0
7078,29,0,NA
7078,30,0,0.625
7078,31,0,0.724137931
7078,32,0,0
7078,33,0,NA
7078,34,0,NA
7078,35,0,NA
7078,36,0,NA
7078,37,0,NA
7078,38,0,NA
7078,39,0,NA
7078,40,0,NA
7078,41,0,NA
7078,42,0,0
7078,43,0,NA
7078,44,0,NA
7078,45,0,NA
7078,46,0.24,NA
7078,47,0,0
7078,48,0,0.068965517
7078,49,0,0
7078,50,0,0
7078,51,0,0
7078,52,0,0
7082,1,0,0
7082,2,0,0.533333333
7082,3,0,1
7082,4,0,0.866666667
7082,5,0,0.6
7082,6,0,1
7082,7,0,1
7082,8,0,1
7082,9,0,1
7082,10,0,1
7082,11,0,1
7082,12,0,1
7082,13,0,1
7082,14,0,1
7082,15,0,1
7082,16,0.933333333,1
7082,17,1,1
7082,18,0.4,1
